,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Devon Conway,c â€ Mohammad Rizwan b Hasan Ali,35,39,6,0,89.74
1, Vs ,,2,Rachin Ravindra,c Saud Shakeel b Mohammad Wasim,108,94,15,1,114.89
2, Vs ,,3,Kane Williamson(c),c Fakhar Zaman b Iftikhar Ahmed,95,79,10,2,120.25
3, Vs ,,4,Daryl Mitchell, b Haris Rauf,29,18,4,1,161.11
4, Vs ,,5,Mark Chapman, b Mohammad Wasim,39,27,7,0,144.44
5, Vs ,,6,Glenn Phillips, b Mohammad Wasim,41,25,4,2,164.00
6, Vs ,,7,Mitchell Santner,,26,17,0,2,152.94
7, Vs ,,8,Tom Lathamâ€ ,,2,2,0,0,100.00
8, Vs ,,1,Abdullah Shafique,c Williamson b Southee,4,9,1,0,44.44
9, Vs ,,2,Fakhar Zaman,,126,81,8,11,155.55
10, Vs ,,3,Babar Azam(c),,66,63,6,2,104.76
