,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Shaheen Shah Afridi,9,0,66,1,7.33,27,9,1,4,0
1, Vs ,,Hasan Ali,10,0,71,4,7.10,32,6,4,3,1
2, Vs ,,Mohammad Nawaz,9,0,62,1,6.88,23,7,1,0,0
3, Vs ,,Haris Rauf,10,0,64,2,6.40,30,6,2,1,0
4, Vs ,,Shadab Khan,8,0,55,1,6.87,20,6,1,0,0
5, Vs ,,Iftikhar Ahmed,4,0,22,0,5.50,11,2,0,1,0
6, Vs ,,Maheesh Theekshana,10,0,59,1,5.90,23,3,0,1,0
7, Vs ,,Dilshan Madushanka,9.2,0,60,2,6.42,27,5,1,2,1
8, Vs ,,Dasun Shanaka,5,0,28,0,5.60,10,2,0,0,0
9, Vs ,,Matheesha Pathirana,9,0,90,1,10.00,14,8,1,9,0
10, Vs ,,Dunith Wellalage,10,0,62,0,6.20,24,4,2,0,0
11, Vs ,,Dhananjaya de Silva,4,0,36,0,9.00,7,3,2,0,0
12, Vs ,,Charith Asalanka,1,0,10,0,10.00,1,1,0,0,0
